VectorID,ProblemID,TargetWeight,AchievedWeight,SolutionsCount,FirstSolutionTime(ms),AllSolutionsTime(ms),ItemsInSolution,SolutionIndices
1,1,521524,521524,6,1.171,2825.578,24,[4 5 6 8 11 12]; [2 15 16 18 20]; [1 3 7 9 10 13 21]; [1 2 4 10 12 15 21]; [0 2 7 9 15 19 21]; [3 5 8 12 21 22]
1,2,157248,157248,1,1.104,1251.610,24,[9 13]
1,3,1309477,1309477,27,0.000,3620.749,24,[0 1 2 3 5 6 7 8 9 10 11 13 16 17 18]; [0 3 4 5 6 7 8 10 11 13 14 19 20]; [0 2 3 4 6 7 10 12 14 16 17 18 19 20]; [1 2 3 4 5 7 10 11 12 15 16 17 18 19 21]; [1 2 3 4 5 6 7 8 9 11 12 13 15 17 18 22]; [0 3 4 5 6 8 11 13 14 16 17 19 22]; [0 1 5 6 8 10 11 14 15 17 18 20 22]; [0 3 6 7 8 9 10 12 15 16 18 19 20 22]; [0 1 2 4 5 7 8 10 13 14 17 18 21 22]; [0 1 2 3 4 10 13 14 15 16 17 19 21 22]; [3 6 8 9 11 12 13 14 15 16 18 19 21 22]; [0 1 4 5 6 7 9 11 15 16 18 20 21 22]; [0 1 2 3 4 5 6 7 9 11 13 17 18 20 23]; [1 2 3 5 8 9 10 11 13 14 15 17 19 20 23]; [0 4 5 6 7 9 11 12 13 14 16 17 21 23]; [0 1 3 4 5 7 8 9 11 12 16 17 18 21 23]; [0 2 4 8 10 11 12 13 16 17 18 21 23]; [0 1 2 6 8 13 14 15 16 17 18 20 21 23]; [0 3 6 9 11 13 14 16 18 19 20 21 23]; [0 1 2 3 4 5 7 9 10 12 13 16 17 22 23]; [0 5 7 8 11 13 14 16 17 20 22 23]; [1 2 3 4 5 7 8 9 11 12 16 17 19 20 22 23]; [0 5 6 7 10 11 12 16 17 19 20 22 23]; [0 1 6 7 8 9 11 12 15 17 18 20 21 22 23]; [0 1 3 8 10 11 13 14 19 20 21 22 23]; [4 6 9 10 11 12 13 14 17 19 20 21 22 23]; [1 3 4 8 9 10 11 12 17 18 19 20 21 22 23]
1,4,389440,389440,2,1.070,2570.823,24,[6 8 9 10 16]; [4 6 9 20 23]
1,5,916537,916537,25,1.084,3524.265,24,[0 3 4 5 6 10 13 14 19]; [1 2 3 5 6 8 9 11 16 17 18 19]; [3 7 10 11 13 16 18 20]; [2 4 5 7 14 15 16 17 19 20]; [0 2 4 7 10 11 12 15 19 21]; [2 3 6 8 9 11 12 16 18 20 21]; [4 10 14 15 17 18 19 20 21]; [5 7 8 10 12 13 14 15 22]; [0 3 4 7 9 12 14 17 18 22]; [0 1 3 4 14 15 16 20 22]; [1 4 5 6 11 12 14 18 21 22]; [1 2 4 5 8 14 17 18 19 21 22]; [0 5 7 10 13 14 20 23]; [3 4 6 12 13 16 18 20 23]; [4 5 7 9 10 12 17 18 20 23]; [1 2 3 4 5 7 9 10 12 19 20 23]; [0 3 4 6 7 9 12 13 19 21 23]; [1 3 5 10 11 12 18 19 21 23]; [0 2 5 6 8 9 12 14 20 21 23]; [0 1 3 4 8 9 14 19 20 21 23]; [0 5 13 14 16 17 22 23]; [1 2 3 4 5 9 12 16 17 19 22 23]; [0 3 7 8 13 19 20 22 23]; [2 3 7 8 9 11 14 15 21 22 23]; [0 1 6 9 12 15 17 18 21 22 23]
1,6,833583,833583,17,0.000,3498.354,24,[1 3 8 9 10 12 13 15 17 18]; [0 1 3 6 8 9 12 15 16 17 19]; [2 3 4 6 7 9 10 11 14 20]; [1 5 7 8 11 12 14 16 20]; [2 3 5 9 10 11 12 17 19 20]; [0 1 3 7 9 11 15 17 19 20]; [7 8 10 12 13 17 18 19 21]; [0 5 6 8 11 13 20 21]; [0 2 6 12 16 17 18 20 21]; [0 1 3 7 8 12 13 16 22]; [2 3 4 6 9 11 14 16 17 22]; [1 4 8 9 12 14 16 17 20 22]; [1 2 3 4 6 7 15 17 18 19 23]; [2 4 5 6 10 15 17 19 21 23]; [4 8 9 10 11 15 19 22 23]; [0 2 7 14 15 17 21 22 23]; [1 5 9 12 13 15 19 21 22 23]
1,7,789267,789267,19,0.000,3453.604,24,[0 1 8 11 14 15 17 18]; [1 2 4 6 9 11 12 14 15 17 19]; [1 3 6 13 14 15 17 18 19]; [1 3 4 5 6 9 10 12 15 20]; [1 2 3 7 8 10 12 16 17 20]; [2 4 5 9 11 12 16 18 21]; [4 5 7 8 13 14 20 21]; [2 3 5 8 12 15 16 20 21]; [4 5 6 7 10 12 19 20 21]; [1 2 4 7 11 12 13 14 22]; [2 4 6 7 8 10 11 15 22]; [1 2 8 9 10 12 14 18 19 22]; [1 2 5 6 7 12 13 15 21 22]; [1 2 3 9 12 14 15 17 19 21 22]; [4 5 6 12 16 17 19 21 22]; [1 2 6 8 9 16 17 19 20 21 22]; [0 7 11 12 16 17 19 23]; [1 2 4 9 13 16 18 20 23]; [3 4 6 7 10 16 19 21 23]
1,8,1042447,1042447,34,0.000,3773.079,24,[1 2 4 6 8 9 10 11 12 13 14 15 17]; [1 2 4 6 9 10 11 12 14 16 18 20]; [2 3 5 6 10 11 13 14 17 19 20]; [3 5 8 10 11 12 14 16 17 19 21]; [0 1 3 6 7 9 10 13 14 18 19 21]; [0 1 2 4 6 10 12 14 15 18 19 21]; [0 6 7 8 9 10 12 14 15 17 20 21]; [1 3 4 6 7 8 12 13 16 17 18 22]; [0 4 5 7 10 11 12 14 19 22]; [4 5 8 9 10 12 15 16 18 19 22]; [1 2 4 7 8 9 11 13 15 16 20 22]; [0 1 2 7 8 9 10 11 14 19 20 22]; [6 7 9 10 13 14 17 18 19 20 22]; [1 2 3 8 9 10 12 13 14 15 17 21 22]; [4 5 6 8 10 12 13 16 17 21 22]; [0 3 5 6 8 12 14 18 19 21 22]; [4 5 7 10 11 13 17 20 21 22]; [1 2 3 9 10 12 14 16 18 20 21 22]; [0 1 2 3 4 9 12 13 14 15 16 23]; [0 7 8 10 11 12 13 16 17 23]; [0 4 5 8 9 10 13 15 17 19 23]; [10 11 12 13 14 15 18 20 23]; [0 6 11 12 14 15 16 19 20 23]; [1 3 8 10 13 14 16 17 19 20 23]; [0 4 5 9 10 16 18 19 20 23]; [0 2 4 7 12 13 14 16 19 21 23]; [1 5 6 9 10 13 16 17 18 19 21 23]; [0 1 2 3 9 10 13 14 17 20 21 23]; [2 3 6 7 9 11 12 13 17 19 20 21 23]; [3 4 5 11 12 14 17 19 20 21 23]; [1 2 5 8 11 12 13 14 18 22 23]; [0 1 2 5 9 13 15 16 18 22 23]; [0 1 2 3 5 7 12 15 17 20 22 23]; [0 1 2 4 6 8 9 12 14 19 20 22 23]
1,9,577535,577535,3,0.000,2919.446,24,[1 5 15 17 19 20 21]; [0 2 12 13 17 22]; [2 11 14 16 17 23]
1,10,667986,667986,6,1.003,3152.849,24,[3 7 9 13 14 16 20]; [2 4 12 14 15 16 20]; [0 1 3 4 6 7 9 17 20]; [1 3 6 11 17 19 20 22]; [1 5 7 9 10 13 21 22]; [1 3 5 9 12 14 19 21 23]
1,11,542586,542586,1,0.000,2858.343,24,[2 4 5 10 17 22]
1,12,580663,580663,2,2.054,2932.875,24,[1 4 5 7 9 10 19 21]; [1 7 10 12 15 17 22]
1,13,200114,200114,1,1.116,1616.747,24,[5 9 12]
