VectorID,ProblemID,TargetWeight,AchievedWeight,Fitness,Generations,DurationMs,TerminationReason,SolutionItems
1,1,521524,521371,153,5,3.328,no_improvement,0 7 8 15 18
1,2,157248,158065,817,2,1.085,no_improvement,2 19 20
1,3,1309477,1309441,36,6,3.632,no_improvement,0 2 4 8 10 13 14 15 17 19 20 22 23
1,4,389440,388928,512,2,1.640,no_improvement,1 7 8 15 20
1,5,916537,916529,8,7,3.593,no_improvement,0 4 7 10 14 18 22
1,6,833583,833608,25,7,4.028,no_improvement,4 5 6 7 8 10 11 12 15 16 18
1,7,789267,789208,59,2,1.002,no_improvement,0 2 3 7 8 12 13 14 16 21 23
1,8,1042447,1042338,109,6,4.601,no_improvement,1 3 5 9 11 12 14 16 17 18 19 20 22
1,9,577535,577553,18,4,2.163,no_improvement,1 3 6 8 16 17 21 23
1,10,667986,668158,172,2,2.201,no_improvement,1 2 9 10 11 12 14 19 21
1,11,542586,542548,38,2,1.012,no_improvement,3 6 8 9 10 16 19
1,12,580663,580609,54,2,1.435,no_improvement,1 3 4 6 8 11 15 19 21 22 23
1,13,200114,200161,47,5,3.119,no_improvement,16 21
1,14,955460,955432,28,8,4.637,no_improvement,0 4 8 11 13 14 16 18 19 21 22
1,15,734950,735017,67,2,1.375,no_improvement,6 7 10 12 14 15 16 21
2,1,541175,541163,12,2,1.999,no_improvement,4 7 8 10 12 17 19
2,2,650309,650350,41,2,1.273,no_improvement,0 1 3 7 8 9 13 16 18 22
2,3,355750,355823,73,6,3.391,no_improvement,2 8 9 13 14 19 21
2,4,587854,587709,145,4,2.298,no_improvement,0 2 4 6 10 12 14 16 17 20 21
2,5,711150,711145,5,2,1.466,no_improvement,1 3 5 8 9 10 11 16 17 21
2,6,186698,186534,164,5,2.741,no_improvement,1 3 8 10 15 19 20 23
2,7,401257,401551,294,2,1.434,no_improvement,0 1 5 6 9 10 14 20 21
2,8,297636,297636,0,2,1.021,zero_fitness,3 6
2,9,679441,679411,30,2,2.547,no_improvement,0 1 5 6 8 9 10 17 18
2,10,448587,448676,89,2,1.012,no_improvement,1 13 14 15 17 18 21 22
2,11,219456,219405,51,4,2.223,no_improvement,5 10 14 17
2,12,173214,173244,30,7,4.104,no_improvement,4 19
2,13,358175,358286,111,4,2.004,no_improvement,1 3 7 11 13 17 21 23
2,14,451545,451509,36,2,2.042,no_improvement,0 1 7 8 9 10 13 17 18 19 22
2,15,454437,454477,40,4,2.991,no_improvement,0 3 6 8 11 13 15
3,1,297862,297867,5,4,3.489,no_improvement,3 8 9 11 14 17 19 21 22
3,2,359395,359377,18,6,3.280,no_improvement,3 12 13 16 21
3,3,618212,618168,44,3,1.399,no_improvement,9 10 11 12 13 18 23
3,4,288346,288364,18,3,2.557,no_improvement,5 6 9 15 17 21
3,5,308124,308103,21,4,3.028,no_improvement,2 3 4 15 17 18 19
3,6,539399,539328,71,2,1.085,no_improvement,0 1 7 12 22 23
3,7,90417,90417,0,2,1.290,zero_fitness,2 17
3,8,217331,217766,435,3,1.020,no_improvement,2 3 6 7
3,9,514472,514473,1,4,2.532,no_improvement,11 14 19 20
3,10,820652,820658,6,6,3.367,no_improvement,1 2 4 5 8 10 11 13 15 19 21 23
3,11,31801,31801,0,3,1.022,zero_fitness,3 16 21 22
3,12,668447,668479,32,3,2.009,no_improvement,0 2 5 8 10 11 15 23
3,13,629153,629125,28,6,4.118,no_improvement,6 7 10 13 14 15 22 23
3,14,703263,703129,134,5,2.430,no_improvement,2 3 4 6 8 10 14 18 19 23
3,15,465253,465197,56,4,2.307,no_improvement,1 2 9 14 17 18 19 21
4,1,211716,211706,10,7,4.496,no_improvement,0 1 3 9 11 12 21
4,2,391985,391925,60,5,2.220,no_improvement,1 6 9 12 14 17 18 21 22
4,3,909561,909568,7,3,2.375,no_improvement,0 3 4 5 6 10 13 16 17 19 20
4,4,691138,691178,40,6,3.544,no_improvement,0 6 8 9 10 11 12 15 20 22
4,5,206934,206946,12,8,4.509,no_improvement,3 9 13 16
4,6,176307,176308,1,6,4.817,no_improvement,4 8 12 15 16 18
4,7,73613,73613,0,6,3.006,zero_fitness,2 11
4,8,138292,138218,74,6,3.726,no_improvement,7 16
4,9,684425,684463,38,2,1.395,no_improvement,0 7 9 13 15 19
4,10,166276,165573,703,3,2.192,no_improvement,0 3 8 11 12 14 20 23
4,11,197912,197936,24,11,4.824,no_improvement,3 13 16 18
4,12,871326,871309,17,4,3.613,no_improvement,0 2 6 7 9 11 12 14 15 18 20 21
4,13,209902,209106,796,2,1.074,no_improvement,1 2 12 16 18
4,14,444533,444564,31,2,2.004,no_improvement,1 13 16 19 20 22
4,15,467732,467722,10,7,3.898,no_improvement,0 1 3 5 9 11 12 13 14
5,1,88319,86239,2080,4,2.051,no_improvement,7 10 11 13
5,2,133752,133736,16,8,4.682,no_improvement,3 5 6 7 8 11 18 20 21 23
5,3,691205,691053,152,2,0.998,no_improvement,1 3 5 8 10 11 13 17 19 23
5,4,519165,519151,14,5,3.406,no_improvement,0 5 7 12 19 21
5,5,418392,418536,144,4,2.180,no_improvement,1 3 4 5 6 7 8 10 14 15 16 18 20
5,6,325951,325937,14,5,3.397,no_improvement,1 2 5 6 7 8 10 11 15 16
5,7,373151,373165,14,6,3.537,no_improvement,0 1 4 6 9 10 11 14 15 16 19 21 23
5,8,378333,378303,30,2,2.073,no_improvement,5 7 10 13 14 15 22
5,9,678239,678386,147,3,2.105,no_improvement,1 2 3 6 7 11 12 13 14 21
5,10,309891,309884,7,2,1.160,no_improvement,1 4 7 9 13 16 17
5,11,74626,74629,3,8,4.983,no_improvement,3 5 7 16 20
5,12,598155,598161,6,8,4.180,no_improvement,0 3 4 5 9 10 19 20 23
5,13,30910,30910,0,3,2.007,zero_fitness,7 15 18
5,14,393733,393689,44,3,2.000,no_improvement,0 4 8 10 13 16 20
5,15,677979,678002,23,3,2.037,no_improvement,0 3 4 5 6 12 14 16 17 18 22
6,1,195889,195843,46,6,3.004,no_improvement,12 16 21
6,2,983938,983948,10,4,2.121,no_improvement,1 3 4 5 7 8 11 12 13 20 21
6,3,329167,329301,134,3,2.053,no_improvement,11 12 16 18 22
6,4,485551,485555,4,7,4.539,no_improvement,1 6 7 8 10 12 18 19 22
6,5,814758,814794,36,2,1.024,no_improvement,0 6 7 8 12 15 16 17 19 20 21 23
6,6,343333,343361,28,6,3.093,no_improvement,5 7 9 10 13 16
6,7,889813,889835,22,7,4.309,no_improvement,0 1 2 3 4 7 8 9 10 11 13 14 19
6,8,283409,282536,873,3,2.108,no_improvement,3 7 12 16 18
6,9,378517,378449,68,4,2.269,no_improvement,1 3 9 15 21
6,10,620979,621013,34,3,2.245,no_improvement,0 1 8 9 12 14 18 20 21
6,11,859445,859454,9,5,2.550,no_improvement,2 6 8 13 16 17 18 20
6,12,184443,184555,112,5,3.392,no_improvement,5 10 13
6,13,850202,850224,22,5,2.214,no_improvement,0 4 7 10 11 13 17 20 21 22
6,14,242600,242613,13,7,2.667,no_improvement,7 11 21 22
6,15,813164,813139,25,4,3.102,no_improvement,0 2 4 6 8 11 16 17 23
7,1,222981,222974,7,2,1.002,no_improvement,2 6 10 11
7,2,359818,359848,30,2,1.436,no_improvement,2 7 9 16
7,3,601848,602077,229,3,2.004,no_improvement,0 7 8 11 13 15 16 17 21 23
